150L_x,150L_y,150L_z,250L_x,250L_y,250L_z,150R_x,150R_y,150R_z,250R_x,250R_y,250R_z,Straight_x,Straight_y,Straight_z,150L_LEdge_x,150L_LEdge_y,150L_REdge_x,150L_REdge_y,250L_LEdge_x,250L_LEdge_y,250L_REdge_x,250L_REdge_y,150R_LEdge_x,150R_LEdge_y,150R_REdge_x,150R_REdge_y,250R_LEdge_x,250R_LEdge_y,250R_REdge_x,250R_REdge_y,Straight_LEdge_x,Straight_LEdge_y,Straight_REdge_x,Straight_REdge_y
,,,,,,214.8535398,6.109705642,-0.08334375,,,,57.381,0,-0.0269875,-23.74015594,-25.37316049,-23.55474575,-25.9437944,-22.4076098,-27.56378189,-22.32929409,-28.1586488,183.7268886,24.35187947,183.4924499,23.79957656,163.735344,16.147524,163.7144043,15.54788951,,,,
,,,,,,219.7029193,2.324361476,-0.04445,,,,63.725,0,-0.03254375,-21.26244728,-24.54413077,-21.06710639,-25.11144191,-20.24847669,-27.26993676,-20.16497283,-27.86409761,186.1325175,23.30588228,185.8884755,22.75775501,165.9179327,16.06176986,165.891761,15.46234093,,,,
,,,,,,224.3930072,-1.656641882,0,,,,70.043,0,-0.034925,-18.79958454,-23.67198533,-18.59437246,-24.2358009,-18.09199004,-26.95726108,-18.00330439,-27.5506706,188.5195247,22.21806039,188.2659538,21.67427572,168.0996898,15.95697255,168.0682883,15.35779483,,,,
,,,,,,,,,,,,76.327,0,-0.03254375,-16.35231795,-22.75698985,-16.13729718,-23.3171381,-15.93831408,-26.62577865,-15.8444534,-27.21839165,190.8871834,21.08874516,190.6241607,20.54946873,170.2804494,15.83314004,170.2438203,15.23425917,,,,
,,,,,,,,,,,,82.66,0,-0.028575,-13.92139297,-21.79942303,-13.69662901,-22.35573334,-13.78761282,-26.2755147,-13.68858425,-26.86728606,193.2347721,19.91828059,192.9623778,19.38367667,172.4600454,15.69028178,172.4181915,15.09174335,,,,
,,,,,,,,,,,,88.997,0,-0.02460625,-11.50755007,-20.79957656,-11.27311139,-21.35187947,-11.64005004,-25.90649593,-11.53586113,-26.49738058,195.5615759,18.70702321,195.2798929,18.17725465,174.6383117,15.52840863,174.5912362,14.93025823,,,,
,,,,,,,,,,,,95.234,0,-0.01984375,-9.111524532,-19.75775501,-8.867482546,-20.30588228,-9.495789285,-25.51875042,-9.386447969,-26.10870336,197.8668859,17.45534198,197.5760002,16.93057016,176.8150824,15.34753293,176.762789,14.74981611,,,,
,,,,,,,,,,,,101.581,0,-0.02143125,-6.734046217,-18.67427572,-6.48047526,-19.21806039,-7.354993854,-25.11230771,-7.240508457,-25.70128402,200.15,16.16361819,199.85,15.64400295,178.9901919,15.14766845,178.9326844,14.55043073,,,,
,,,,,,,,,,,,107.898,0,-0.0206375,-4.375839326,-17.54946873,-4.112816638,-18.08874516,-5.217826776,-24.68719874,-5.098206015,-25.27515357,202.4102227,14.8322453,202.1011998,14.31794492,181.1634744,14.92883041,181.1007573,14.33211727,,,,
,,,,,,,,,,,,114.195,0,-0.0142875,-2.037622189,-16.38367667,-1.765227889,-16.91828059,-3.084450803,-24.2434559,-2.959703788,-24.83034446,204.6468654,13.46162885,204.3289139,12.95279999,183.3347644,14.69103548,183.2668425,14.09489236,,,,
